timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1448960611756,13987,Suggest Request,200,OK,Thread-Gruppe 1-112,text,false,378,121,121,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Verk,13987,0,0
1448960608947,16799,Suggest Request,200,OK,Thread-Gruppe 1-140,text,false,731,121,121,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Ver,16799,0,0
1448960609124,16627,Suggest Request,200,OK,Thread-Gruppe 1-86,text,false,2196,113,113,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unabge,16627,0,0
1448960609302,16454,Suggest Request,200,OK,Thread-Gruppe 1-183,text,false,2021,113,113,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unabgeschlosse,16454,0,0
1448960608357,17401,Suggest Request,200,OK,Thread-Gruppe 1-10,text,false,1851,113,113,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unerw%C3%83%C2%BCn,17401,0,0
1448960609101,16660,Suggest Request,200,OK,Thread-Gruppe 1-153,text,false,349,109,109,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unab,16659,0,0
1448960609166,16605,Suggest Request,200,OK,Thread-Gruppe 1-186,text,false,257,105,105,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unabgesc,16605,0,0
1448960612771,13257,Suggest Request,200,OK,Thread-Gruppe 1-225,text,false,1982,103,103,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Erfind,13257,0,0
1448960612840,13188,Suggest Request,200,OK,Thread-Gruppe 1-245,text,false,357,103,103,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Domin,13188,0,0
1448960611753,14275,Suggest Request,200,OK,Thread-Gruppe 1-94,text,false,328,103,103,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Ver,14275,0,0
1448960612760,13269,Suggest Request,200,OK,Thread-Gruppe 1-219,text,false,2220,103,103,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Yor,13269,0,0
1448960612821,13247,Suggest Request,200,OK,Thread-Gruppe 1-238,text,false,2144,99,99,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Assessmen,13247,0,0
1448960609719,16389,Suggest Request,200,OK,Thread-Gruppe 1-172,text,false,1889,98,98,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unabgeschlossenhe,16389,0,0
1448960612862,13269,Suggest Request,200,OK,Thread-Gruppe 1-252,text,false,357,97,97,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Socie,13269,0,0
1448960612835,13313,Suggest Request,200,OK,Thread-Gruppe 1-241,text,false,357,96,96,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Domi,13313,0,0
